datetime,line_id,stop_id,bus_id,boarding,alighting,current_load,new_load,occupancy_rate,trip_id,stop_sequence,total_stops,fitness_score,source
2025-06-02 06:45:53.133694,101,10401,opt_bus_101_0623,0,0,0,0,0.0,2,5,78,0.8121139032132771,optimized_schedule
2025-06-02 06:46:52.957734,101-1,11167,opt_bus_101-1_0559,0,0,0,0,0.0,38,10,89,0.8126430487707956,optimized_schedule
2025-06-02 06:47:07.059087,101,11179,opt_bus_101_0528,0,0,0,0,0.0,1,18,78,0.8121139032132771,optimized_schedule
2025-06-02 06:50:22.564204,101-1,11174,opt_bus_101-1_0540,0,0,0,0,0.0,37,16,89,0.8126430487707956,optimized_schedule
2025-06-02 06:51:57.815376,101,10550,opt_bus_101_0623,0,0,0,0,0.0,2,6,78,0.8121139032132771,optimized_schedule
2025-06-02 06:52:19.453225,101-1,11168,opt_bus_101-1_0559,0,0,0,0,0.0,38,11,89,0.8126430487707956,optimized_schedule
2025-06-02 06:52:36.387383,101,11180,opt_bus_101_0528,0,0,0,0,0.0,1,19,78,0.8121139032132771,optimized_schedule
2025-06-02 06:55:46.077704,101,10883,opt_bus_101_0623,0,0,0,0,0.0,2,7,78,0.8121139032132771,optimized_schedule
2025-06-02 06:56:28.161486,101-1,11177,opt_bus_101-1_0540,0,0,0,0,0.0,37,17,89,0.8126430487707956,optimized_schedule
2025-06-02 06:56:35.812664,101-1,11169,opt_bus_101-1_0559,0,0,0,0,0.0,38,12,89,0.8126430487707956,optimized_schedule
2025-06-02 06:58:33.132101,101,11181,opt_bus_101_0528,0,0,0,0,0.0,1,20,78,0.8121139032132771,optimized_schedule
2025-06-02 06:59:34.405199,101,11166,opt_bus_101_0623,0,0,0,0,0.0,2,8,78,0.8121139032132771,optimized_schedule
2025-06-02 07:00:02.765575,101-1,11178,opt_bus_101-1_0540,0,0,0,0,0.0,37,18,89,0.8126430487707956,optimized_schedule
2025-06-02 07:01:24.066244,101-1,11170,opt_bus_101-1_0559,0,0,0,0,0.0,38,13,89,0.8126430487707956,optimized_schedule
2025-06-02 07:02:00.000000,101,10017,opt_bus_101_0702,0,0,0,0,0.0,3,1,78,0.8121139032132771,optimized_schedule
2025-06-02 07:04:03.677631,101,11182,opt_bus_101_0528,0,0,0,0,0.0,1,21,78,0.8121139032132771,optimized_schedule
2025-06-02 07:04:43.093249,101,11167,opt_bus_101_0623,0,0,0,0,0.0,2,9,78,0.8121139032132771,optimized_schedule
2025-06-02 07:06:12.279211,101-1,11179,opt_bus_101-1_0540,0,0,0,0,0.0,37,19,89,0.8126430487707956,optimized_schedule
2025-06-02 07:07:37.959063,101-1,11171,opt_bus_101-1_0559,0,0,0,0,0.0,38,14,89,0.8126430487707956,optimized_schedule
2025-06-02 07:11:04.666025,101,10113,opt_bus_101_0702,0,0,0,0,0.0,3,2,78,0.8121139032132771,optimized_schedule
2025-06-02 07:12:56.330988,101-1,11173,opt_bus_101-1_0559,0,0,0,0,0.0,38,15,89,0.8126430487707956,optimized_schedule
